smiles,energy_hartree,gap_eV
CCCCc1nc(Cl)c(CO)n1Cc1ccc(NC(=O)/C(=N\O)c2ccccc2)cc1,-90.41263568738265,2.249082865858109
N#CC(C#N)=CN1CCN(c2ccccn2)CC1,-48.98706091957403,2.858833421662376
COc1cccc(OC)c1OC(=O)C(CCSC)N1CCCCCC1,-77.91533653828085,2.7089541550821425
CCCCN(CC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1cccc2c1CCCC2,-103.17975236677292,2.9402209688580605
O=C(O)CCN1CCC2(CCC(C(=O)N3CCN(c4ccncc4)CC3)CC2)CC1,-90.55035120556624,2.780014053121627
O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,-52.27751897857929,2.7048048692272566
CCOP(=O)(OCC)/C(C#N)=C(\O)[C@H](Cc1ccccc1)NC(=O)C(CC(C)C)NC(C)=O,-102.3849704258543,2.8033809599363737
CN[C@@H]1CC[C@@H](c2ccc(C(F)(F)F)cc2)c2ccccc21,-64.85259006553363,2.637396226348616
CC1N=C(S)N(Nc2cccc(Cl)c2)C1c1cccc(C(=O)O)c1,-69.25616516195808,2.3603993909420145
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCN(C)C,-89.34622597110378,1.937889953926909
CN[C@H](CS)CCC(=O)O,-33.775279758772726,3.069822988559889
O=C(Cc1ccccc1)NC1C(=O)N2C(C(=O)[O-])=CCSC12.[Na+],-46.82343085843482,0.2314129786602388
CCCC1Nc2cccc([C@@H]3C[C@H]3CNC(C)=O)c2O1,-59.46087581794482,3.75320603428861
CC(=O)Nc1nc(N2CCN(C)CC2)c(Cl)nc1[N+](=O)[O-],-65.40909888487164,0.8533169200840643
CC(C)NCC1CCCc2c1ccc(O)c2O,-51.76416236907233,3.547051574943037
O=C1CN2CCCCC2c2[nH]c3ccccc3c21,-50.21702047484294,2.4837463242707187
COc1ccnc(C[S+]([O-])c2nc3cc4c(cc3[nH]2)OC(F)(F)O4)c1OC,-82.69973161942654,2.762210293012695
COc1cccc(Sc2c(C(=O)O)oc3ccccc23)c1,-59.88093359662648,1.8140816345699944
C#CCN[C@@H]1CCc2ccccc21,-35.1650324669322,3.706438310259004
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)C3COC(=O)[C@@H]32)OCO4)cc(O)c1O,-84.57496593082757,3.3184587972752944
CCCCC(=O)NCCCc1ccccc1OC,-54.9178065982934,4.115249009528139
Nc1ncnc2c1nnn2C1OC(CO)C(O)C1O,-59.181939971974295,2.445674820933333
Nc1nc(O)c(Cl)c(-c2cccc(F)c2)n1,-47.11732020147451,2.731521911922151
Cc1nc2cc(/C=C/c3ccccc3)ccn2c1C,-50.400571063664216,2.577991738253651
COC(=O)Nc1nc2cc(C(=O)N3CCOCC3)ccc2[nH]1,-66.17169678775431,3.296682945596209
Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c(-c2ccccc2)c1,-80.06715408581654,1.8068396374775568
O=C(O)C(=O)[C@H]1Cc2ccccc2CN1S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,-93.52484519579326,1.585964291687958
CN(C)CCCCNC(=O)c1cccc2c(N)c3ccccc3nc12,-70.82676055302277,0.9366194030037862
CCOC(=O)c1cc2ccc3c(c4ccccc4n3C)c2o1,-61.3603114720368,2.371444086437646
O=C(O)Cc1nn(Cc2nc3ccccc3s2)c(=O)c2ccc(Cl)cc12,-73.46020992938813,2.753236947629135
CC(C)N(CCCCC(=O)O)C(=O)N1C[C@H](N)[C@H](C(=O)O)C1,-71.89499179749794,2.889637664134385
Cc1cn(COCCN)c(=O)[nH]c1=O,-44.75187685149244,3.322741587826321
c1cc(CN2CCC(C3=NCCN3)CC2)ccc1CN1CCC(C2=NCCN2)CC1,-87.3140871544519,3.20423890447024
